ы	1,898	ы	2,032	т	2,032	к	1,806	ъ	1,806	и	1,806	а	2,032	ю	2,257	ж	2,032	с	1,806	ь	1,806	ь	1,580	й	1,806	ш	1,580	й	1,580	
з	1,781	ш	1,806	о	2,032	ъ	1,580	ж	1,806	ц	1,129	д	1,806	я	1,806	а	1,806	ч	1,806	д	1,806	э	1,580	м	1,806	и	1,354	ч	1,354	
б	1,727	т	1,580	п	2,032	я	1,580	к	1,806	р	0,903	и	1,580	у	1,354	и	1,806	и	1,806	а	1,580	и	1,580	ь	1,580	м	1,354	я	1,354	
ч	1,363	а	1,580	ф	1,580	ь	1,129	ц	1,354	ф	0,903	р	1,354	ц	1,354	ь	1,354	ц	1,580	б	1,580	щ	1,354	а	1,354	ъ	1,129	з	1,129	
й	1,152	х	0,903	к	1,129	ю	1,129	ф	1,129	в	0,903	ф	1,129	д	1,354	ю	1,354	у	0,903	о	1,580	я	1,129	л	1,129	ф	0,903	ш	0,903	
ж	1,013	э	0,903	л	0,903	м	1,129	ь	0,903	г	0,903	у	0,903	ф	1,129	г	1,354	в	0,903	э	1,354	ш	0,903	в	0,903	ч	0,677	ю	0,903	
ш	0,944	м	0,903	з	0,677	й	0,451	и	0,903	е	0,903	е	0,903	в	1,129	э	1,129	е	0,903	г	1,129	в	0,903	ж	0,903	п	0,677	г	0,677	
х	0,853	р	0,677	й	0,677	ш	0,226	с	0,677	ж	0,903	л	0,903	ш	0,451	о	1,129	ж	0,903	л	0,677	з	0,903	э	0,677	й	0,451	х	0,451	
ю	0,648	о	0,451	м	0,677	щ	0,226	л	0,451	л	0,903	г	0,677	щ	0,451	ъ	0,903	й	0,903	щ	0,226	ц	0,677	г	0,677	к	0,451	ц	0,451	
ц	0,404	п	0,451	р	0,451	ы	0,226	р	0,226	у	0,677	в	0,451	б	0,451	щ	0,451	л	0,677	ъ	0,226	ъ	0,451	ъ	0,451	о	0,451	щ	0,451	
э	0,302	л	0,226	с	0,451	-	-	м	0,226	о	0,677	к	0,451	р	0,226	в	0,451	г	0,451	ю	0,226	х	0,226	ю	0,451	е	0,226	ж	0,451	
щ	0,281	-	-	щ	0,451	-	-	н	0,226	к	0,226	ж	0,226	с	0,226	л	0,451	к	0,451	-	-	-	-	ы	0,226	ж	0,226	э	0,226	
ф	0,224	-	-	и	0,451	-	-	-	-	-	-	-	-	-	-	ы	0,226	б	0,226	-	-	-	-	-	-	з	0,226	-	-	
ъ	0,052	-	-	н	0,226	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
